"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1986/04/01","00:00","0.549","0.274","0.198","-0.122","-0.119","-0.436","-0.616","-0.805","0"
"1986/05/01","00:00","0.555","0.369","0.259","-0.028","-0.031","-0.323","-0.518","-0.857","0"
"1986/06/01","00:00","0.594","0.363","0.238","-0.046","-0.049","-0.332","-0.537","-0.844","0"
"1986/07/01","00:00","0.576","0.314","0.183","-0.095","-0.095","-0.372","-0.561","-0.887","0"
"1986/08/01","00:00","0.558","0.32","0.198","-0.082","-0.088","-0.375","-0.54","-0.802","0"
"1986/09/01","00:00","0.536","0.402","0.305","0.015","0.006","-0.296","-0.427","-0.567","0"
"1986/10/01","00:00","0.451","0.357","0.265","-0.006","-0.012","-0.29","-0.43","-0.738","11"
"1986/11/01","00:00","0.613","0.344","0.244","-0.034","-0.034","-0.314","-0.518","-0.762","0"
"1986/12/01","00:00","1.097","0.296","0.143","-0.14","-0.137","-0.421","-0.652","-0.972","0"
"1987/01/01","00:00","NaN","0.314","0.146","-0.174","-0.168","-0.482","-0.646","NaN","11"
"1987/02/01","00:00","NaN","0.265","0.149","-0.186","-0.177","-0.503","-0.646","NaN","11"
"1987/03/01","00:00","0.652","0.332","0.238","-0.101","-0.107","-0.451","-0.582","-0.982","0"
"1987/04/01","00:00","0.509","0.18","0.088","-0.21","-0.21","-0.512","-0.674","-0.854","0"
"1987/05/01","00:00","0.494","0.283","0.155","-0.14","-0.14","-0.436","-0.637","-0.939","0"
"1987/06/01","00:00","0.631","0.341","0.198","-0.076","-0.076","-0.351","-0.558","-0.793","0"
"1987/07/01","00:00","0.652","0.341","0.21","-0.064","-0.073","-0.36","-0.527","-0.82","0"
"1987/08/01","00:00","0.53","0.311","0.198","-0.088","-0.095","-0.387","-0.534","-0.814","0"
"1987/09/01","00:00","0.518","0.326","0.238","-0.064","-0.073","-0.381","-0.506","-0.631","0"
"1987/10/01","00:00","0.472","0.177","0.107","-0.186","-0.186","-0.482","-0.646","-0.915","0"
"1987/11/01","00:00","0.524","0.274","0.189","-0.095","-0.092","-0.375","-0.57","-1.119","0"
"1987/12/01","00:00","0.515","0.247","0.122","-0.156","-0.153","-0.424","-0.649","-1.061","0"
"1988/03/01","00:00","0.335","0.161","0.064","-0.265","-0.274","-0.616","-0.741","-1.137","0"
"1988/06/01","00:00","0.503","0.32","0.174","NaN","-0.116","-0.405","-0.625","-0.847","0"
"1988/08/01","00:00","0.481","0.262","0.149","-0.153","-0.162","-0.469","-0.619","-0.817","0"
"1988/09/01","00:00","0.646","0.311","0.207","-0.085","-0.101","-0.412","-0.527","-0.796","0"
"1988/10/01","00:00","0.475","0.256","0.161","-0.116","-0.125","-0.412","-0.552","-0.905","0"
"1988/11/01","00:00","0.512","0.216","0.097","-0.165","-0.171","-0.436","-0.622","-1.006","0"
"1989/05/01","00:00","0.521","0.219","0.097","-0.189","-0.198","-0.494","-0.674","-0.985","0"
"1989/06/01","00:00","0.78","0.344","0.192","-0.107","-0.104","-0.402","-0.607","-0.878","0"
